policy,phase,capacity,shift_level,n_seeds,total_accesses_mean,hits_mean,misses_mean,hit_rate_mean,hit_rate_std,recomputation_cost_mean,recomputation_cost_std
adaptive,overall,256,hard,15,4800.0,2517.0,2283.0,0.5243749999999999,0.003634122347705864,2347.0,17.443787268988245
fifo,overall,256,hard,15,4800.0,2459.6,2340.4,0.5124166666666666,0.003376579583326847,2520.5333333333333,17.053975936364395
lru,overall,256,hard,15,4800.0,2506.0666666666666,2293.9333333333334,0.5220972222222222,0.0036515403178825436,2384.866666666667,18.780182057031237
adaptive,overall,384,hard,15,4800.0,2535.3333333333335,2264.6666666666665,0.5281944444444444,0.003319975716268677,2328.6666666666665,15.935883438089716
fifo,overall,384,hard,15,4800.0,2514.866666666667,2285.133333333333,0.5239305555555556,0.003444812448339219,2394.866666666667,16.93629520403133
lru,overall,384,hard,15,4800.0,2532.6666666666665,2267.3333333333335,0.5276388888888889,0.0035132496752185664,2343.3333333333335,19.363687173479615
adaptive,overall,512,hard,15,4800.0,2550.4666666666667,2249.5333333333333,0.5313472222222223,0.0033117480677959535,2313.5333333333333,15.89639072542064
fifo,overall,512,hard,15,4800.0,2534.6,2265.4,0.5280416666666666,0.0032397579764593246,2363.6666666666665,15.72380663955435
lru,overall,512,hard,15,4800.0,2549.9333333333334,2250.0666666666666,0.5312361111111111,0.003668481242916412,2319.133333333333,20.031641636837108
adaptive,phase1,256,hard,15,2400.0,2091.4,308.6,0.8714166666666666,0.004039119226636461,372.6,9.693886143927447
fifo,phase1,256,hard,15,2400.0,2059.733333333333,340.26666666666665,0.8582222222222222,0.004092999572763921,467.06666666666666,10.416104746748573
lru,phase1,256,hard,15,2400.0,2091.4,308.6,0.8714166666666666,0.004039119226636461,372.6,9.693886143927447
adaptive,phase1,384,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
fifo,phase1,384,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
lru,phase1,384,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
adaptive,phase1,512,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
fifo,phase1,512,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
lru,phase1,512,hard,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
adaptive,phase2,256,hard,15,2400.0,425.6,1974.4,0.17733333333333334,0.005272344739071889,1974.4,12.653627373772503
fifo,phase2,256,hard,15,2400.0,399.8666666666667,2000.1333333333334,0.1666111111111111,0.00504411753363477,2053.4666666666667,13.135919493982176
lru,phase2,256,hard,15,2400.0,414.6666666666667,1985.3333333333333,0.17277777777777778,0.00521051541591337,2012.2666666666667,13.624907164384497
adaptive,phase2,384,hard,15,2400.0,442.06666666666666,1957.9333333333334,0.18419444444444444,0.004996195642633592,1957.9333333333334,11.990869542320606
fifo,phase2,384,hard,15,2400.0,421.6,1978.4,0.1756666666666667,0.005241678968870417,2024.1333333333334,13.621761301402282
lru,phase2,384,hard,15,2400.0,439.4,1960.6,0.18308333333333332,0.0050488683314750225,1972.6,13.865682199486022
adaptive,phase2,512,hard,15,2400.0,457.2,1942.8,0.1905,0.004925536792920415,1942.8,11.821288303009014
fifo,phase2,512,hard,15,2400.0,441.3333333333333,1958.6666666666667,0.18388888888888888,0.004742021982949106,1992.9333333333334,11.234301215897831
lru,phase2,512,hard,15,2400.0,456.6666666666667,1943.3333333333333,0.19027777777777777,0.005274382784422626,1948.4,14.291855822710493
adaptive,overall,256,moderate,15,4800.0,2783.5333333333333,2016.4666666666667,0.5799027777777778,0.005209444325951229,2080.4666666666667,25.005332764565726
fifo,overall,256,moderate,15,4800.0,2715.6,2084.4,0.56575,0.005466120399535884,2283.733333333333,29.28545876775873
lru,overall,256,moderate,15,4800.0,2774.6,2025.4,0.5780416666666667,0.005279161263950324,2112.0666666666666,27.117381528318333
adaptive,overall,384,moderate,15,4800.0,2805.0666666666666,1994.9333333333334,0.5843888888888888,0.005060684974132176,2058.9333333333334,24.291287875834563
fifo,overall,384,moderate,15,4800.0,2780.4666666666667,2019.5333333333333,0.5792638888888889,0.005053573765587361,2141.4,25.48332788314749
lru,overall,384,moderate,15,4800.0,2805.6,1994.4,0.5845,0.005148947149275455,2065.866666666667,25.897784424449146
adaptive,overall,512,moderate,15,4800.0,2826.4666666666667,1973.5333333333333,0.5888472222222222,0.005247393217780675,2037.5333333333333,25.1874874453472
fifo,overall,512,moderate,15,4800.0,2808.4666666666667,1991.5333333333333,0.5850972222222222,0.005282135836449973,2099.266666666667,25.655594395950388
lru,overall,512,moderate,15,4800.0,2828.6666666666665,1971.3333333333333,0.5893055555555555,0.005339228203048894,2038.1333333333334,26.930775456096075
adaptive,phase1,256,moderate,15,2400.0,2091.4,308.6,0.8714166666666666,0.004039119226636461,372.6,9.693886143927447
fifo,phase1,256,moderate,15,2400.0,2059.733333333333,340.26666666666665,0.8582222222222222,0.004092999572763921,467.06666666666666,10.416104746748573
lru,phase1,256,moderate,15,2400.0,2091.4,308.6,0.8714166666666666,0.004039119226636461,372.6,9.693886143927447
adaptive,phase1,384,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
fifo,phase1,384,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
lru,phase1,384,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
adaptive,phase1,512,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
fifo,phase1,512,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
lru,phase1,512,moderate,15,2400.0,2093.266666666667,306.73333333333335,0.8721944444444444,0.0038235728049442062,370.73333333333335,9.17657473186613
adaptive,phase2,256,moderate,15,2400.0,692.1333333333333,1707.8666666666666,0.2883888888888889,0.009511723481992293,1707.8666666666666,22.82813635678154
