total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,policy,phase,capacity,shift_level,base_seed
4800,2534,2266,0.5279166666666667,0.47208333333333335,2330,adaptive,overall,256,hard,3026
4800,2471,2329,0.5147916666666666,0.48520833333333335,2513,fifo,overall,256,hard,3026
4800,2522,2278,0.5254166666666666,0.47458333333333336,2368,lru,overall,256,hard,3026
2400,2092,308,0.8716666666666667,0.12833333333333333,372,adaptive,phase1,256,hard,3026
2400,2059,341,0.8579166666666667,0.14208333333333334,469,fifo,phase1,256,hard,3026
2400,2092,308,0.8716666666666667,0.12833333333333333,372,lru,phase1,256,hard,3026
2400,442,1958,0.18416666666666667,0.8158333333333333,1958,adaptive,phase2,256,hard,3026
2400,412,1988,0.17166666666666666,0.8283333333333334,2044,fifo,phase2,256,hard,3026
2400,430,1970,0.17916666666666667,0.8208333333333333,1996,lru,phase2,256,hard,3026
4800,2551,2249,0.5314583333333334,0.4685416666666667,2313,adaptive,overall,384,hard,3026
4800,2532,2268,0.5275,0.4725,2378,fifo,overall,384,hard,3026
4800,2548,2252,0.5308333333333334,0.4691666666666667,2328,lru,overall,384,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,adaptive,phase1,384,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,fifo,phase1,384,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,lru,phase1,384,hard,3026
2400,455,1945,0.18958333333333333,0.8104166666666667,1945,adaptive,phase2,384,hard,3026
2400,436,1964,0.18166666666666667,0.8183333333333334,2010,fifo,phase2,384,hard,3026
2400,452,1948,0.18833333333333332,0.8116666666666666,1960,lru,phase2,384,hard,3026
4800,2569,2231,0.5352083333333333,0.46479166666666666,2295,adaptive,overall,512,hard,3026
4800,2555,2245,0.5322916666666667,0.46770833333333334,2345,fifo,overall,512,hard,3026
4800,2570,2230,0.5354166666666667,0.46458333333333335,2298,lru,overall,512,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,adaptive,phase1,512,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,fifo,phase1,512,hard,3026
2400,2096,304,0.8733333333333333,0.12666666666666668,368,lru,phase1,512,hard,3026
2400,473,1927,0.19708333333333333,0.8029166666666666,1927,adaptive,phase2,512,hard,3026
2400,459,1941,0.19125,0.80875,1977,fifo,phase2,512,hard,3026
2400,474,1926,0.1975,0.8025,1930,lru,phase2,512,hard,3026
4800,2540,2260,0.5291666666666667,0.4708333333333333,2324,adaptive,overall,256,hard,3027
4800,2476,2324,0.5158333333333334,0.4841666666666667,2510,fifo,overall,256,hard,3027
4800,2528,2272,0.5266666666666666,0.47333333333333333,2364,lru,overall,256,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,adaptive,phase1,256,hard,3027
2400,2080,320,0.8666666666666667,0.13333333333333333,446,fifo,phase1,256,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,lru,phase1,256,hard,3027
2400,429,1971,0.17875,0.82125,1971,adaptive,phase2,256,hard,3027
2400,396,2004,0.165,0.835,2064,fifo,phase2,256,hard,3027
2400,417,1983,0.17375,0.82625,2011,lru,phase2,256,hard,3027
4800,2554,2246,0.5320833333333334,0.46791666666666665,2310,adaptive,overall,384,hard,3027
4800,2533,2267,0.5277083333333333,0.47229166666666667,2385,fifo,overall,384,hard,3027
4800,2555,2245,0.5322916666666667,0.46770833333333334,2317,lru,overall,384,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,adaptive,phase1,384,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,fifo,phase1,384,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,lru,phase1,384,hard,3027
2400,443,1957,0.18458333333333332,0.8154166666666667,1957,adaptive,phase2,384,hard,3027
2400,422,1978,0.17583333333333334,0.8241666666666667,2032,fifo,phase2,384,hard,3027
2400,444,1956,0.185,0.815,1964,lru,phase2,384,hard,3027
4800,2569,2231,0.5352083333333333,0.46479166666666666,2295,adaptive,overall,512,hard,3027
4800,2556,2244,0.5325,0.4675,2340,fifo,overall,512,hard,3027
4800,2571,2229,0.535625,0.464375,2295,lru,overall,512,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,adaptive,phase1,512,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,fifo,phase1,512,hard,3027
2400,2111,289,0.8795833333333334,0.12041666666666667,353,lru,phase1,512,hard,3027
2400,458,1942,0.19083333333333333,0.8091666666666667,1942,adaptive,phase2,512,hard,3027
2400,445,1955,0.18541666666666667,0.8145833333333333,1987,fifo,phase2,512,hard,3027
2400,460,1940,0.19166666666666668,0.8083333333333333,1942,lru,phase2,512,hard,3027
4800,2511,2289,0.523125,0.476875,2353,adaptive,overall,256,hard,3028
4800,2456,2344,0.5116666666666667,0.48833333333333334,2522,fifo,overall,256,hard,3028
4800,2500,2300,0.5208333333333334,0.4791666666666667,2390,lru,overall,256,hard,3028
2400,2084,316,0.8683333333333333,0.13166666666666665,380,adaptive,phase1,256,hard,3028
2400,2050,350,0.8541666666666666,0.14583333333333334,478,fifo,phase1,256,hard,3028
2400,2084,316,0.8683333333333333,0.13166666666666665,380,lru,phase1,256,hard,3028
2400,427,1973,0.17791666666666667,0.8220833333333334,1973,adaptive,phase2,256,hard,3028
2400,406,1994,0.16916666666666666,0.8308333333333333,2044,fifo,phase2,256,hard,3028
2400,416,1984,0.17333333333333334,0.8266666666666667,2010,lru,phase2,256,hard,3028
4800,2530,2270,0.5270833333333333,0.47291666666666665,2334,adaptive,overall,384,hard,3028
4800,2508,2292,0.5225,0.4775,2402,fifo,overall,384,hard,3028
4800,2529,2271,0.526875,0.473125,2349,lru,overall,384,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,adaptive,phase1,384,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,fifo,phase1,384,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,lru,phase1,384,hard,3028
2400,444,1956,0.185,0.815,1956,adaptive,phase2,384,hard,3028
2400,422,1978,0.17583333333333334,0.8241666666666667,2024,fifo,phase2,384,hard,3028
2400,443,1957,0.18458333333333332,0.8154166666666667,1971,lru,phase2,384,hard,3028
4800,2549,2251,0.5310416666666666,0.4689583333333333,2315,adaptive,overall,512,hard,3028
4800,2533,2267,0.5277083333333333,0.47229166666666667,2363,fifo,overall,512,hard,3028
4800,2547,2253,0.530625,0.469375,2321,lru,overall,512,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,adaptive,phase1,512,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,fifo,phase1,512,hard,3028
2400,2086,314,0.8691666666666666,0.13083333333333333,378,lru,phase1,512,hard,3028
2400,463,1937,0.19291666666666665,0.8070833333333334,1937,adaptive,phase2,512,hard,3028
2400,447,1953,0.18625,0.81375,1985,fifo,phase2,512,hard,3028
2400,461,1939,0.19208333333333333,0.8079166666666666,1943,lru,phase2,512,hard,3028
4800,2510,2290,0.5229166666666667,0.47708333333333336,2354,adaptive,overall,256,hard,3029
4800,2449,2351,0.5102083333333334,0.4897916666666667,2535,fifo,overall,256,hard,3029
4800,2495,2305,0.5197916666666667,0.48020833333333335,2407,lru,overall,256,hard,3029
2400,2083,317,0.8679166666666667,0.13208333333333333,381,adaptive,phase1,256,hard,3029
2400,2052,348,0.855,0.145,474,fifo,phase1,256,hard,3029
2400,2083,317,0.8679166666666667,0.13208333333333333,381,lru,phase1,256,hard,3029
