workload,policy,capacity,total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,base_seed,workload_seed
long_context,fifo,32,4000,84,3916,0.021,0.979,3916,42,65
long_context,fifo,64,4000,156,3844,0.039,0.961,3844,42,65
long_context,fifo,128,4000,296,3704,0.074,0.926,3704,42,65
long_context,fifo,256,4000,466,3534,0.1165,0.8835,3534,42,65
long_context,fifo,512,4000,626,3374,0.1565,0.8435,3374,42,65
long_context,lru,32,4000,90,3910,0.0225,0.9775,3910,42,65
long_context,lru,64,4000,172,3828,0.043,0.957,3828,42,65
long_context,lru,128,4000,346,3654,0.0865,0.9135,3654,42,65
long_context,lru,256,4000,572,3428,0.143,0.857,3428,42,65
long_context,lru,512,4000,777,3223,0.19425,0.80575,3223,42,65
long_context,fifo,32,4000,108,3892,0.027,0.973,3892,43,66
long_context,fifo,64,4000,196,3804,0.049,0.951,3804,43,66
long_context,fifo,128,4000,308,3692,0.077,0.923,3692,43,66
long_context,fifo,256,4000,455,3545,0.11375,0.88625,3545,43,66
long_context,fifo,512,4000,604,3396,0.151,0.849,3396,43,66
long_context,lru,32,4000,111,3889,0.02775,0.97225,3889,43,66
long_context,lru,64,4000,217,3783,0.05425,0.94575,3783,43,66
long_context,lru,128,4000,348,3652,0.087,0.913,3652,43,66
long_context,lru,256,4000,560,3440,0.14,0.86,3440,43,66
long_context,lru,512,4000,736,3264,0.184,0.816,3264,43,66
long_context,fifo,32,4000,95,3905,0.02375,0.97625,3905,44,67
long_context,fifo,64,4000,190,3810,0.0475,0.9525,3810,44,67
long_context,fifo,128,4000,318,3682,0.0795,0.9205,3682,44,67
long_context,fifo,256,4000,483,3517,0.12075,0.87925,3517,44,67
long_context,fifo,512,4000,629,3371,0.15725,0.84275,3371,44,67
long_context,lru,32,4000,99,3901,0.02475,0.97525,3901,44,67
long_context,lru,64,4000,208,3792,0.052,0.948,3792,44,67
long_context,lru,128,4000,374,3626,0.0935,0.9065,3626,44,67
long_context,lru,256,4000,597,3403,0.14925,0.85075,3403,44,67
long_context,lru,512,4000,784,3216,0.196,0.804,3216,44,67
long_context,fifo,32,4000,109,3891,0.02725,0.97275,3891,45,68
long_context,fifo,64,4000,173,3827,0.04325,0.95675,3827,45,68
long_context,fifo,128,4000,292,3708,0.073,0.927,3708,45,68
long_context,fifo,256,4000,474,3526,0.1185,0.8815,3526,45,68
long_context,fifo,512,4000,633,3367,0.15825,0.84175,3367,45,68
long_context,lru,32,4000,108,3892,0.027,0.973,3892,45,68
long_context,lru,64,4000,195,3805,0.04875,0.95125,3805,45,68
long_context,lru,128,4000,343,3657,0.08575,0.91425,3657,45,68
long_context,lru,256,4000,594,3406,0.1485,0.8515,3406,45,68
long_context,lru,512,4000,794,3206,0.1985,0.8015,3206,45,68
long_context,fifo,32,4000,106,3894,0.0265,0.9735,3894,46,69
long_context,fifo,64,4000,175,3825,0.04375,0.95625,3825,46,69
long_context,fifo,128,4000,284,3716,0.071,0.929,3716,46,69
long_context,fifo,256,4000,443,3557,0.11075,0.88925,3557,46,69
long_context,fifo,512,4000,584,3416,0.146,0.854,3416,46,69
long_context,lru,32,4000,109,3891,0.02725,0.97275,3891,46,69
long_context,lru,64,4000,195,3805,0.04875,0.95125,3805,46,69
long_context,lru,128,4000,322,3678,0.0805,0.9195,3678,46,69
long_context,lru,256,4000,544,3456,0.136,0.864,3456,46,69
