workload,policy,capacity,total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,base_seed,workload_seed
long_context,fifo,128,4000,296,3704,0.074,0.926,3704,42,65
long_context,lru,128,4000,346,3654,0.0865,0.9135,3654,42,65
multiturn,fifo,128,2400,1926,474,0.8025,0.1975,474,42,79
multiturn,lru,128,2400,1962,438,0.8175,0.1825,438,42,79
short_prompt,fifo,128,2000,1912,88,0.956,0.044,88,42,53
short_prompt,lru,128,2000,1912,88,0.956,0.044,88,42,53
long_context,fifo,128,4000,308,3692,0.077,0.923,3692,43,66
long_context,lru,128,4000,348,3652,0.087,0.913,3652,43,66
multiturn,fifo,128,2400,1900,500,0.7916666666666666,0.20833333333333334,500,43,80
multiturn,lru,128,2400,1936,464,0.8066666666666666,0.19333333333333333,464,43,80
short_prompt,fifo,128,2000,1909,91,0.9545,0.0455,91,43,54
short_prompt,lru,128,2000,1909,91,0.9545,0.0455,91,43,54
long_context,fifo,128,4000,318,3682,0.0795,0.9205,3682,44,67
long_context,lru,128,4000,374,3626,0.0935,0.9065,3626,44,67
multiturn,fifo,128,2400,1929,471,0.80375,0.19625,471,44,81
multiturn,lru,128,2400,1965,435,0.81875,0.18125,435,44,81
short_prompt,fifo,128,2000,1911,89,0.9555,0.0445,89,44,55
short_prompt,lru,128,2000,1911,89,0.9555,0.0445,89,44,55
long_context,fifo,128,4000,292,3708,0.073,0.927,3708,45,68
long_context,lru,128,4000,343,3657,0.08575,0.91425,3657,45,68
multiturn,fifo,128,2400,1912,488,0.7966666666666666,0.20333333333333334,488,45,82
multiturn,lru,128,2400,1948,452,0.8116666666666666,0.18833333333333332,452,45,82
short_prompt,fifo,128,2000,1908,92,0.954,0.046,92,45,56
short_prompt,lru,128,2000,1908,92,0.954,0.046,92,45,56
long_context,fifo,128,4000,284,3716,0.071,0.929,3716,46,69
long_context,lru,128,4000,322,3678,0.0805,0.9195,3678,46,69
multiturn,fifo,128,2400,1934,466,0.8058333333333333,0.19416666666666665,466,46,83
multiturn,lru,128,2400,1970,430,0.8208333333333333,0.17916666666666667,430,46,83
short_prompt,fifo,128,2000,1908,92,0.954,0.046,92,46,57
short_prompt,lru,128,2000,1908,92,0.954,0.046,92,46,57
long_context,fifo,128,4000,293,3707,0.07325,0.92675,3707,47,70
long_context,lru,128,4000,330,3670,0.0825,0.9175,3670,47,70
multiturn,fifo,128,2400,1934,466,0.8058333333333333,0.19416666666666665,466,47,84
multiturn,lru,128,2400,1970,430,0.8208333333333333,0.17916666666666667,430,47,84
short_prompt,fifo,128,2000,1906,94,0.953,0.047,94,47,58
short_prompt,lru,128,2000,1906,94,0.953,0.047,94,47,58
long_context,fifo,128,4000,301,3699,0.07525,0.92475,3699,48,71
long_context,lru,128,4000,358,3642,0.0895,0.9105,3642,48,71
multiturn,fifo,128,2400,1945,455,0.8104166666666667,0.18958333333333333,455,48,85
multiturn,lru,128,2400,1981,419,0.8254166666666667,0.17458333333333334,419,48,85
short_prompt,fifo,128,2000,1907,93,0.9535,0.0465,93,48,59
short_prompt,lru,128,2000,1907,93,0.9535,0.0465,93,48,59
long_context,fifo,128,4000,262,3738,0.0655,0.9345,3738,49,72
long_context,lru,128,4000,311,3689,0.07775,0.92225,3689,49,72
multiturn,fifo,128,2400,1937,463,0.8070833333333334,0.19291666666666665,463,49,86
multiturn,lru,128,2400,1973,427,0.8220833333333334,0.17791666666666667,427,49,86
short_prompt,fifo,128,2000,1908,92,0.954,0.046,92,49,60
short_prompt,lru,128,2000,1908,92,0.954,0.046,92,49,60
long_context,fifo,128,4000,301,3699,0.07525,0.92475,3699,50,73
long_context,lru,128,4000,345,3655,0.08625,0.91375,3655,50,73
multiturn,fifo,128,2400,1914,486,0.7975,0.2025,486,50,87
multiturn,lru,128,2400,1950,450,0.8125,0.1875,450,50,87
short_prompt,fifo,128,2000,1907,93,0.9535,0.0465,93,50,61
short_prompt,lru,128,2000,1907,93,0.9535,0.0465,93,50,61
long_context,fifo,128,4000,302,3698,0.0755,0.9245,3698,51,74
long_context,lru,128,4000,344,3656,0.086,0.914,3656,51,74
multiturn,fifo,128,2400,1941,459,0.80875,0.19125,459,51,88
multiturn,lru,128,2400,1977,423,0.82375,0.17625,423,51,88
short_prompt,fifo,128,2000,1909,91,0.9545,0.0455,91,51,62
short_prompt,lru,128,2000,1909,91,0.9545,0.0455,91,51,62
long_context,fifo,128,4000,315,3685,0.07875,0.92125,3685,52,75
long_context,lru,128,4000,364,3636,0.091,0.909,3636,52,75
multiturn,fifo,128,2400,1916,484,0.7983333333333333,0.20166666666666666,484,52,89
multiturn,lru,128,2400,1952,448,0.8133333333333334,0.18666666666666668,448,52,89
short_prompt,fifo,128,2000,1907,93,0.9535,0.0465,93,52,63
short_prompt,lru,128,2000,1907,93,0.9535,0.0465,93,52,63
long_context,fifo,128,4000,315,3685,0.07875,0.92125,3685,53,76
long_context,lru,128,4000,363,3637,0.09075,0.90925,3637,53,76
multiturn,fifo,128,2400,1923,477,0.80125,0.19875,477,53,90
multiturn,lru,128,2400,1959,441,0.81625,0.18375,441,53,90
short_prompt,fifo,128,2000,1905,95,0.9525,0.0475,95,53,64
short_prompt,lru,128,2000,1905,95,0.9525,0.0475,95,53,64
long_context,fifo,128,4000,313,3687,0.07825,0.92175,3687,54,77
long_context,lru,128,4000,374,3626,0.0935,0.9065,3626,54,77
multiturn,fifo,128,2400,1951,449,0.8129166666666666,0.18708333333333332,449,54,91
multiturn,lru,128,2400,1987,413,0.8279166666666666,0.17208333333333334,413,54,91
short_prompt,fifo,128,2000,1906,94,0.953,0.047,94,54,65
short_prompt,lru,128,2000,1906,94,0.953,0.047,94,54,65
long_context,fifo,128,4000,309,3691,0.07725,0.92275,3691,55,78
long_context,lru,128,4000,361,3639,0.09025,0.90975,3639,55,78
multiturn,fifo,128,2400,1945,455,0.8104166666666667,0.18958333333333333,455,55,92
multiturn,lru,128,2400,1981,419,0.8254166666666667,0.17458333333333334,419,55,92
short_prompt,fifo,128,2000,1909,91,0.9545,0.0455,91,55,66
short_prompt,lru,128,2000,1909,91,0.9545,0.0455,91,55,66
long_context,fifo,128,4000,287,3713,0.07175,0.92825,3713,56,79
long_context,lru,128,4000,314,3686,0.0785,0.9215,3686,56,79
multiturn,fifo,128,2400,1915,485,0.7979166666666667,0.20208333333333334,485,56,93
multiturn,lru,128,2400,1951,449,0.8129166666666666,0.18708333333333332,449,56,93
short_prompt,fifo,128,2000,1907,93,0.9535,0.0465,93,56,67
short_prompt,lru,128,2000,1907,93,0.9535,0.0465,93,56,67
