workload,policy,capacity,total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,unique_requests,base_seed,mode
local_isolated,fifo,64,4000,2807,1193,0.70175,0.29825,2195,8,2026,local
local_isolated,lru,64,4000,2914,1086,0.7285,0.2715,1864,8,2026,local
shared_global,fifo,512,4000,3262,738,0.8155,0.1845,866,8,2026,shared_global
shared_global,lru,512,4000,3295,705,0.82375,0.17625,769,8,2026,shared_global
local_isolated,fifo,64,4000,2827,1173,0.70675,0.29325,2165,8,2027,local
local_isolated,lru,64,4000,2949,1051,0.73725,0.26275,1779,8,2027,local
shared_global,fifo,512,4000,3279,721,0.81975,0.18025,849,8,2027,shared_global
shared_global,lru,512,4000,3312,688,0.828,0.172,752,8,2027,shared_global
local_isolated,fifo,64,4000,2890,1110,0.7225,0.2775,2062,8,2028,local
local_isolated,lru,64,4000,3015,985,0.75375,0.24625,1677,8,2028,local
shared_global,fifo,512,4000,3320,680,0.83,0.17,808,8,2028,shared_global
shared_global,lru,512,4000,3354,646,0.8385,0.1615,710,8,2028,shared_global
local_isolated,fifo,64,4000,2822,1178,0.7055,0.2945,2170,8,2029,local
local_isolated,lru,64,4000,2958,1042,0.7395,0.2605,1754,8,2029,local
shared_global,fifo,512,4000,3273,727,0.81825,0.18175,855,8,2029,shared_global
shared_global,lru,512,4000,3305,695,0.82625,0.17375,759,8,2029,shared_global
local_isolated,fifo,64,4000,2854,1146,0.7135,0.2865,2136,8,2030,local
local_isolated,lru,64,4000,2983,1017,0.74575,0.25425,1729,8,2030,local
shared_global,fifo,512,4000,3305,695,0.82625,0.17375,823,8,2030,shared_global
shared_global,lru,512,4000,3338,662,0.8345,0.1655,726,8,2030,shared_global
local_isolated,fifo,64,4000,2870,1130,0.7175,0.2825,2108,8,2031,local
local_isolated,lru,64,4000,2999,1001,0.74975,0.25025,1709,8,2031,local
shared_global,fifo,512,4000,3308,692,0.827,0.173,820,8,2031,shared_global
shared_global,lru,512,4000,3341,659,0.83525,0.16475,723,8,2031,shared_global
local_isolated,fifo,64,4000,2801,1199,0.70025,0.29975,2199,8,2032,local
local_isolated,lru,64,4000,2922,1078,0.7305,0.2695,1820,8,2032,local
shared_global,fifo,512,4000,3257,743,0.81425,0.18575,871,8,2032,shared_global
shared_global,lru,512,4000,3288,712,0.822,0.178,776,8,2032,shared_global
local_isolated,fifo,64,4000,2742,1258,0.6855,0.3145,2296,8,2033,local
local_isolated,lru,64,4000,2874,1126,0.7185,0.2815,1900,8,2033,local
shared_global,fifo,512,4000,3222,778,0.8055,0.1945,906,8,2033,shared_global
shared_global,lru,512,4000,3253,747,0.81325,0.18675,811,8,2033,shared_global
local_isolated,fifo,64,4000,2820,1180,0.705,0.295,2182,8,2034,local
local_isolated,lru,64,4000,2941,1059,0.73525,0.26475,1791,8,2034,local
shared_global,fifo,512,4000,3278,722,0.8195,0.1805,850,8,2034,shared_global
shared_global,lru,512,4000,3308,692,0.827,0.173,756,8,2034,shared_global
local_isolated,fifo,64,4000,2852,1148,0.713,0.287,2124,8,2035,local
local_isolated,lru,64,4000,2970,1030,0.7425,0.2575,1756,8,2035,local
shared_global,fifo,512,4000,3287,713,0.82175,0.17825,841,8,2035,shared_global
shared_global,lru,512,4000,3320,680,0.83,0.17,744,8,2035,shared_global
local_isolated,fifo,64,4000,2837,1163,0.70925,0.29075,2163,8,2036,local
local_isolated,lru,64,4000,2969,1031,0.74225,0.25775,1761,8,2036,local
shared_global,fifo,512,4000,3290,710,0.8225,0.1775,838,8,2036,shared_global
shared_global,lru,512,4000,3321,679,0.83025,0.16975,743,8,2036,shared_global
local_isolated,fifo,64,4000,2826,1174,0.7065,0.2935,2144,8,2037,local
local_isolated,lru,64,4000,2947,1053,0.73675,0.26325,1763,8,2037,local
shared_global,fifo,512,4000,3261,739,0.81525,0.18475,867,8,2037,shared_global
shared_global,lru,512,4000,3292,708,0.823,0.177,772,8,2037,shared_global
local_isolated,fifo,64,4000,2815,1185,0.70375,0.29625,2173,8,2038,local
local_isolated,lru,64,4000,2933,1067,0.73325,0.26675,1799,8,2038,local
shared_global,fifo,512,4000,3265,735,0.81625,0.18375,863,8,2038,shared_global
shared_global,lru,512,4000,3300,700,0.825,0.175,764,8,2038,shared_global
local_isolated,fifo,64,4000,2838,1162,0.7095,0.2905,2128,8,2039,local
local_isolated,lru,64,4000,2957,1043,0.73925,0.26075,1759,8,2039,local
shared_global,fifo,512,4000,3272,728,0.818,0.182,856,8,2039,shared_global
shared_global,lru,512,4000,3305,695,0.82625,0.17375,759,8,2039,shared_global
local_isolated,fifo,64,4000,2815,1185,0.70375,0.29625,2195,8,2040,local
local_isolated,lru,64,4000,2941,1059,0.73525,0.26475,1805,8,2040,local
shared_global,fifo,512,4000,3272,728,0.818,0.182,856,8,2040,shared_global
shared_global,lru,512,4000,3304,696,0.826,0.174,760,8,2040,shared_global
