policy,mode,num_requests,shared_prefix_reuse_prob,capacity,n_seeds,total_accesses_mean,hits_mean,misses_mean,hit_rate_mean,hit_rate_std,recomputation_cost_mean,recomputation_cost_std
fifo,local,4,0.05,128,15,2000.0,1212.6,787.4,0.6063,0.00941655077889082,1099.0,23.65828154609474
fifo,local,4,0.2,128,15,2000.0,1381.2,618.8,0.6906,0.01268182050923967,931.2,42.23945345966763
fifo,local,4,0.35,128,15,2000.0,1612.9333333333334,387.06666666666666,0.8064666666666667,0.009189409017735484,643.0666666666667,18.378818035470943
fifo,local,8,0.05,64,15,4000.0,2204.733333333333,1795.2666666666667,0.5511833333333332,0.00738632101219802,2544.0666666666666,42.79931018580739
fifo,local,8,0.2,64,15,4000.0,2488.0666666666666,1511.9333333333334,0.6220166666666667,0.0067423678192103905,2558.4666666666667,42.15933495454505
fifo,local,8,0.35,64,15,4000.0,3029.2,970.8,0.7573000000000001,0.008184370994244376,1891.0666666666666,47.83672627754098
fifo,local,16,0.05,32,15,8000.0,4077.4666666666667,3922.5333333333333,0.5096833333333334,0.007098614469102563,5571.066666666667,70.91490541151296
fifo,local,16,0.2,32,15,8000.0,4410.0,3590.0,0.55125,0.005918154574817091,6534.133333333333,77.1814806309192
fifo,local,16,0.35,32,15,8000.0,5257.8,2742.2,0.6572250000000001,0.0064396580987325655,6058.866666666667,91.51492202029661
fifo,shared_global,4,0.05,512,15,2000.0,1322.4,677.6,0.6611999999999999,0.008845499259106718,774.1333333333333,19.070795423768722
fifo,shared_global,4,0.2,512,15,2000.0,1505.4,494.6,0.7527,0.008897832801948362,559.2666666666667,19.557485474754646
fifo,shared_global,4,0.35,512,15,2000.0,1708.9333333333334,291.06666666666666,0.8544666666666667,0.009189409017735505,355.06666666666666,18.378818035470953
fifo,shared_global,8,0.05,512,15,4000.0,2507.0666666666666,1492.9333333333334,0.6267666666666667,0.006506498582918728,1655.4666666666667,28.81930569865242
fifo,shared_global,8,0.2,512,15,4000.0,2973.4,1026.6,0.74335,0.0056440550265617435,1156.6,25.382220999296795
fifo,shared_global,8,0.35,512,15,4000.0,3445.0666666666666,554.9333333333333,0.8612666666666667,0.009664213563944254,656.2666666666667,66.15832381132255
fifo,shared_global,16,0.05,512,15,8000.0,4761.733333333334,3238.266666666667,0.5952166666666667,0.007042990858867798,3545.3333333333335,60.697924966493595
fifo,shared_global,16,0.2,512,15,8000.0,5785.666666666667,2214.3333333333335,0.7232083333333333,0.006053088546550491,2505.8,61.775168381570836
fifo,shared_global,16,0.35,512,15,8000.0,6854.266666666666,1145.7333333333333,0.8567833333333333,0.004636199438990454,1336.2666666666667,39.11424049529542
lru,local,4,0.05,128,15,2000.0,1213.8666666666666,786.1333333333333,0.6069333333333333,0.010323113225508438,1084.0,25.623649790211946
lru,local,4,0.2,128,15,2000.0,1400.4666666666667,599.5333333333333,0.7002333333333333,0.009702478819255175,869.1333333333333,23.669952823498956
lru,local,4,0.35,128,15,2000.0,1612.9333333333334,387.06666666666666,0.8064666666666667,0.009189409017735484,643.0666666666667,18.378818035470943
lru,local,8,0.05,64,15,4000.0,2216.733333333333,1783.2666666666667,0.5541833333333333,0.008066391179868874,2519.8,44.70410655473546
lru,local,8,0.2,64,15,4000.0,2555.2,1444.8,0.6388,0.006833609169810214,2344.8,39.221349871138884
lru,local,8,0.35,64,15,4000.0,3179.6,820.4,0.7949,0.009171384067537787,1426.8,55.22318353735141
lru,local,16,0.05,32,15,8000.0,4111.466666666666,3888.5333333333333,0.5139333333333334,0.0072379620915071765,5516.933333333333,70.85545312885418
lru,local,16,0.2,32,15,8000.0,4500.6,3499.4,0.562575,0.0059020653164803165,6272.333333333333,77.03586054250187
lru,local,16,0.35,32,15,8000.0,5470.8,2529.2,0.68385,0.006626381257626854,5412.533333333334,97.36519374181397
lru,shared_global,4,0.05,512,15,2000.0,1333.2,666.8,0.6666000000000001,0.009365971843403598,736.1333333333333,19.960198491235587
lru,shared_global,4,0.2,512,15,2000.0,1505.7333333333333,494.26666666666665,0.7528666666666666,0.00849677810085903,558.2666666666667,16.99355620171814
lru,shared_global,4,0.35,512,15,2000.0,1708.9333333333334,291.06666666666666,0.8544666666666667,0.009189409017735505,355.06666666666666,18.378818035470953
lru,shared_global,8,0.05,512,15,4000.0,2545.4,1454.6,0.63635,0.007074728667184764,1554.7333333333333,31.750065616730087
lru,shared_global,8,0.2,512,15,4000.0,3008.2,991.8,0.75205,0.005649905182516649,1055.8,22.599620730066622
lru,shared_global,8,0.35,512,15,4000.0,3463.6,536.4,0.8659,0.006443989447539467,600.4,25.77595779015787
lru,shared_global,16,0.05,512,15,8000.0,4854.866666666667,3145.133333333333,0.6068583333333334,0.007156238952996275,3314.866666666667,61.27789937963732
lru,shared_global,16,0.2,512,15,8000.0,5907.666666666667,2092.3333333333335,0.7384583333333333,0.005190923282404546,2156.4666666666667,41.4192271892219
lru,shared_global,16,0.35,512,15,8000.0,6919.6,1080.4,0.86495,0.004527889763928174,1144.4,36.22311811142554
