policy,num_requests,shared_prefix_reuse_prob,n_seeds,shared_minus_local_hit_rate,shared_minus_local_hit_rate_std,local_minus_shared_recompute
fifo,4,0.05,15,0.05489999999999995,0.012919531172387286,324.8666666666667
fifo,4,0.2,15,0.062100000000000044,0.015491933384829673,371.9333333333334
fifo,4,0.35,15,0.04800000000000004,0.012995786863075159,288.00000000000006
fifo,8,0.05,15,0.07558333333333345,0.009843386709093644,888.5999999999999
fifo,8,0.2,15,0.1213333333333333,0.008792888089381144,1401.8666666666668
fifo,8,0.35,15,0.10396666666666665,0.01266416015300473,1234.8
fifo,16,0.05,15,0.08553333333333335,0.009999702376523395,2025.7333333333331
fifo,16,0.2,15,0.17195833333333332,0.008465484895964862,4028.333333333333
fifo,16,0.35,15,0.19955833333333328,0.00793495694170216,4722.6
lru,4,0.05,15,0.05966666666666676,0.01393872645682152,347.8666666666667
lru,4,0.2,15,0.05263333333333331,0.012897028081435382,310.8666666666667
lru,4,0.35,15,0.04800000000000004,0.012995786863075159,288.00000000000006
lru,8,0.05,15,0.08216666666666672,0.010729326744067041,965.0666666666668
lru,8,0.2,15,0.11324999999999996,0.008866771839691305,1289.0000000000002
lru,8,0.35,15,0.07099999999999995,0.011208893152951632,826.4
lru,16,0.05,15,0.09292500000000004,0.010178401209938433,2202.0666666666666
lru,16,0.2,15,0.17588333333333328,0.00786002923174014,4115.866666666667
lru,16,0.35,15,0.18110000000000004,0.008025628591313828,4268.133333333333
