workload,policy,capacity,total_accesses,hits,misses,hit_rate,miss_rate,recomputation_cost,unique_requests,mode,base_seed,num_requests,shared_prefix_reuse_prob
local_isolated,fifo,128,2000,1242,758,0.621,0.379,1066,4,local,2026,4,0.05
local_isolated,fifo,128,2000,1405,595,0.7025,0.2975,891,4,local,2026,4,0.2
local_isolated,fifo,128,2000,1619,381,0.8095,0.1905,637,4,local,2026,4,0.35
local_isolated,fifo,64,4000,2237,1763,0.55925,0.44075,2483,8,local,2026,8,0.05
local_isolated,fifo,64,4000,2499,1501,0.62475,0.37525,2517,8,local,2026,8,0.2
local_isolated,fifo,64,4000,3032,968,0.758,0.242,1886,8,local,2026,8,0.35
local_isolated,fifo,32,8000,4142,3858,0.51775,0.48225,5518,16,local,2026,16,0.05
local_isolated,fifo,32,8000,4478,3522,0.55975,0.44025,6424,16,local,2026,16,0.2
local_isolated,fifo,32,8000,5315,2685,0.664375,0.335625,5939,16,local,2026,16,0.35
shared_global,fifo,512,2000,1349,651,0.6745,0.3255,745,4,shared_global,2026,4,0.05
shared_global,fifo,512,2000,1521,479,0.7605,0.2395,543,4,shared_global,2026,4,0.2
shared_global,fifo,512,2000,1715,285,0.8575,0.1425,349,4,shared_global,2026,4,0.35
shared_global,fifo,512,4000,2527,1473,0.63175,0.36825,1625,8,shared_global,2026,8,0.05
shared_global,fifo,512,4000,2963,1037,0.74075,0.25925,1165,8,shared_global,2026,8,0.2
shared_global,fifo,512,4000,3434,566,0.8585,0.1415,686,8,shared_global,2026,8,0.35
shared_global,fifo,512,8000,4842,3158,0.60525,0.39475,3454,16,shared_global,2026,16,0.05
shared_global,fifo,512,8000,5840,2160,0.73,0.27,2430,16,shared_global,2026,16,0.2
shared_global,fifo,512,8000,6872,1128,0.859,0.141,1318,16,shared_global,2026,16,0.35
local_isolated,lru,128,2000,1240,760,0.62,0.38,1060,4,local,2026,4,0.05
local_isolated,lru,128,2000,1419,581,0.7095,0.2905,845,4,local,2026,4,0.2
local_isolated,lru,128,2000,1619,381,0.8095,0.1905,637,4,local,2026,4,0.35
local_isolated,lru,64,4000,2252,1748,0.563,0.437,2464,8,local,2026,8,0.05
local_isolated,lru,64,4000,2554,1446,0.6385,0.3615,2348,8,local,2026,8,0.2
local_isolated,lru,64,4000,3170,830,0.7925,0.2075,1466,8,local,2026,8,0.35
local_isolated,lru,32,8000,4186,3814,0.52325,0.47675,5454,16,local,2026,16,0.05
local_isolated,lru,32,8000,4567,3433,0.570875,0.429125,6171,16,local,2026,16,0.2
local_isolated,lru,32,8000,5498,2502,0.68725,0.31275,5384,16,local,2026,16,0.35
shared_global,lru,512,2000,1365,635,0.6825,0.3175,701,4,shared_global,2026,4,0.05
shared_global,lru,512,2000,1521,479,0.7605,0.2395,543,4,shared_global,2026,4,0.2
shared_global,lru,512,2000,1715,285,0.8575,0.1425,349,4,shared_global,2026,4,0.35
shared_global,lru,512,4000,2567,1433,0.64175,0.35825,1529,8,shared_global,2026,8,0.05
shared_global,lru,512,4000,2996,1004,0.749,0.251,1068,8,shared_global,2026,8,0.2
shared_global,lru,512,4000,3462,538,0.8655,0.1345,602,8,shared_global,2026,8,0.35
shared_global,lru,512,8000,4939,3061,0.617375,0.382625,3231,16,shared_global,2026,16,0.05
shared_global,lru,512,8000,5953,2047,0.744125,0.255875,2111,16,shared_global,2026,16,0.2
shared_global,lru,512,8000,6935,1065,0.866875,0.133125,1129,16,shared_global,2026,16,0.35
local_isolated,fifo,128,2000,1227,773,0.6135,0.3865,1083,4,local,2027,4,0.05
local_isolated,fifo,128,2000,1391,609,0.6955,0.3045,913,4,local,2027,4,0.2
local_isolated,fifo,128,2000,1623,377,0.8115,0.1885,633,4,local,2027,4,0.35
local_isolated,fifo,64,4000,2199,1801,0.54975,0.45025,2569,8,local,2027,8,0.05
local_isolated,fifo,64,4000,2471,1529,0.61775,0.38225,2601,8,local,2027,8,0.2
local_isolated,fifo,64,4000,3045,955,0.76125,0.23875,1867,8,local,2027,8,0.35
local_isolated,fifo,32,8000,4106,3894,0.51325,0.48675,5546,16,local,2027,16,0.05
local_isolated,fifo,32,8000,4443,3557,0.555375,0.444625,6481,16,local,2027,16,0.2
local_isolated,fifo,32,8000,5338,2662,0.66725,0.33275,5910,16,local,2027,16,0.35
shared_global,fifo,512,2000,1338,662,0.669,0.331,756,4,shared_global,2027,4,0.05
shared_global,fifo,512,2000,1511,489,0.7555,0.2445,553,4,shared_global,2027,4,0.2
shared_global,fifo,512,2000,1719,281,0.8595,0.1405,345,4,shared_global,2027,4,0.35
