total_accesses,unique_blocks,unique_requests,reuse_ratio,shared_prefix_fraction,avg_recompute_cost,base_seed,num_requests,shared_prefix_reuse_prob
2000,628,4,0.686,0.189,1.378,2026,4,0.05
2000,479,4,0.7605,0.4665,1.933,2026,4,0.2
2000,285,4,0.8575,0.721,2.442,2026,4,0.35
4000,1252,8,0.687,0.1645,1.329,2026,8,0.05
4000,951,8,0.76225,0.4415,1.883,2026,8,0.2
4000,538,8,0.8655,0.7085,2.417,2026,8,0.35
8000,2462,16,0.69225,0.166625,1.33325,2026,16,0.05
8000,1820,16,0.7725,0.445375,1.89075,2026,16,0.2
8000,1030,16,0.87125,0.718375,2.43675,2026,16,0.35
2000,639,4,0.6805,0.171,1.342,2027,4,0.05
2000,489,4,0.7555,0.4585,1.917,2027,4,0.2
2000,281,4,0.8595,0.728,2.456,2027,4,0.35
4000,1242,8,0.6895,0.167,1.334,2027,8,0.05
4000,934,8,0.7665,0.454,1.908,2027,8,0.2
4000,523,8,0.86925,0.72375,2.4475,2027,8,0.35
8000,2444,16,0.6945,0.1675,1.335,2027,16,0.05
8000,1823,16,0.772125,0.451875,1.90375,2027,16,0.2
8000,1005,16,0.874375,0.722125,2.44425,2027,16,0.35
2000,643,4,0.6785,0.184,1.368,2028,4,0.05
2000,478,4,0.761,0.438,1.876,2028,4,0.2
2000,265,4,0.8675,0.745,2.49,2028,4,0.35
4000,1225,8,0.69375,0.17975,1.3595,2028,8,0.05
4000,913,8,0.77175,0.4575,1.915,2028,8,0.2
4000,505,8,0.87375,0.73525,2.4705,2028,8,0.35
8000,2470,16,0.69125,0.173125,1.34625,2028,16,0.05
8000,1819,16,0.772625,0.452875,1.90575,2028,16,0.2
8000,1003,16,0.874625,0.7275,2.455,2028,16,0.35
2000,672,4,0.664,0.1535,1.307,2029,4,0.05
2000,514,4,0.743,0.4255,1.851,2029,4,0.2
2000,311,4,0.8445,0.716,2.432,2029,4,0.35
4000,1277,8,0.68075,0.166,1.332,2029,8,0.05
4000,962,8,0.7595,0.441,1.882,2029,8,0.2
4000,545,8,0.86375,0.7315,2.463,2029,8,0.35
8000,2550,16,0.68125,0.168125,1.33625,2029,16,0.05
8000,1883,16,0.764625,0.436375,1.87275,2029,16,0.2
8000,1056,16,0.868,0.722125,2.44425,2029,16,0.35
2000,651,4,0.6745,0.1745,1.349,2030,4,0.05
2000,480,4,0.76,0.437,1.874,2030,4,0.2
2000,273,4,0.8635,0.745,2.49,2030,4,0.35
4000,1249,8,0.68775,0.16975,1.3395,2030,8,0.05
4000,916,8,0.771,0.44475,1.8895,2030,8,0.2
4000,510,8,0.8725,0.73475,2.4695,2030,8,0.35
